time,Cid,hits
2019-11-20,2,6343
2019-11-20,3,22804
2019-11-20,8,1732
2019-11-20,10,335
2019-11-21,1,13370
2019-11-21,2,6719
2019-11-21,5,15194
2019-11-22,1,3118
2019-11-22,3,8841
2019-11-22,10,193
2019-11-25,1,19085
2019-11-25,2,12830
2019-11-25,3,13784
2019-11-25,5,7023
2019-11-26,1,6293
2019-11-26,2,30194
2019-11-26,3,11022
2019-11-26,8,1533
2019-11-26,10,242
2019-11-27,1,9549
2019-11-27,2,31378
2019-11-27,3,23299
2019-11-27,6,1611
2019-11-28,1,19962
2019-11-28,5,6691
2019-11-28,10,242
2019-11-29,1,6900
2019-11-29,2,5050
2019-11-29,3,2942
2019-11-29,4,5886
2019-11-29,6,1861
2019-11-29,10,311
2019-12-02,1,22067
2019-12-02,2,8842
2019-12-02,3,3681
2019-12-03,1,14031
2019-12-03,3,42972
2019-12-04,1,8188
2019-12-04,2,9611
2019-12-04,5,5438
2019-12-04,8,3069
2019-12-05,2,9893
2019-12-05,3,5875
2019-12-05,5,4685
2019-12-06,1,2381
2019-12-06,2,24882
2019-12-06,3,12400
2019-12-06,8,1586
2019-12-08,8,1560
2019-12-09,1,9185
2019-12-09,2,10394
2019-12-09,3,12189
2019-12-09,4,6803
2019-12-09,5,14617
2019-12-10,1,7187
2019-12-10,2,15139
2019-12-10,3,5971
2019-12-10,10,1163
2019-12-11,1,12851
2019-12-11,3,22529
2019-12-11,5,14866
2019-12-12,1,6119
2019-12-12,3,7238
2019-12-12,8,1502
2019-12-13,1,25400
2019-12-13,2,21394
2019-12-13,3,2146
2019-12-16,1,4548
2019-12-16,2,13270
2019-12-16,3,10185
2019-12-16,4,4122
2019-12-16,10,394
2019-12-17,1,15943
2019-12-18,1,8477
2019-12-18,2,4646
2019-12-18,5,15559
2019-12-18,10,251
2019-12-19,1,10474
2019-12-19,2,10891
2019-12-19,3,7203
2019-12-19,5,9560
2019-12-19,8,1575
2019-12-20,2,18649
2019-12-20,3,2480
2019-12-20,5,11185
2019-12-23,1,14286
2019-12-23,3,15869
2019-12-23,6,4488
2019-12-24,1,12444
2019-12-24,2,14146
2019-12-24,3,3959
2019-12-24,5,8761
2019-12-26,1,12040
2019-12-26,2,7780
2019-12-26,5,4483
2019-12-26,10,785
2019-12-27,1,11867
2019-12-27,3,9288
2019-12-27,5,4782
2019-12-30,2,7089
2019-12-30,8,1554
2019-12-31,3,8766
2019-12-31,5,6014
2019-12-31,8,2776
2020-01-02,1,14286
2020-01-02,3,5571
2020-01-03,1,7752
2020-01-03,2,16839
2020-01-03,3,4671
2020-01-05,8,1489
2020-01-06,1,5450
2020-01-06,3,1873
2020-01-06,5,10293
2020-01-06,10,435
2020-01-07,1,3566
2020-01-07,2,6286
2020-01-07,5,13062
2020-01-07,8,4346
2020-01-08,8,1810
2020-01-09,1,4650
2020-01-09,3,16058
2020-01-10,2,16263
2020-01-10,3,2306
2020-01-13,1,13472
2020-01-13,3,18091
2020-01-13,5,7784
2020-01-13,8,1450
2020-01-14,1,22831
2020-01-14,2,17216
2020-01-14,5,9316
2020-01-14,10,493
2020-01-15,1,5145
2020-01-15,2,7101
2020-01-15,3,5687
2020-01-15,5,12878
2020-01-16,1,6306
2020-01-16,5,10828
2020-01-16,8,1496
2020-01-17,1,7031
2020-01-17,5,12944
2020-01-17,10,6565
2020-01-20,1,12954
2020-01-20,2,3567
2020-01-20,5,7559
2020-01-21,1,12433
2020-01-21,2,4548
2020-01-21,3,12160
2020-01-22,1,5725
2020-01-22,2,51792
2020-01-22,5,10066
2020-01-22,8,1562
2020-01-23,1,8081
2020-01-23,2,31201
2020-01-23,5,6444
2020-01-28,1,11977
2020-01-28,2,5006
2020-01-28,3,3397
2020-01-28,5,18402
2020-01-29,1,2701
2020-01-29,2,50934
2020-01-29,3,5299
2020-01-29,10,468
2020-01-30,1,9084
2020-01-30,3,8953
2020-01-30,5,12776
2020-01-31,1,18810
2020-01-31,2,24318
2020-01-31,3,4369
2020-01-31,8,1505
2020-02-02,1,4133
2020-02-03,1,12914
2020-02-03,2,18308
2020-02-03,3,6452
2020-02-03,4,6125
2020-02-03,8,3624
2020-02-04,1,4873
2020-02-04,3,4755
2020-02-04,5,14451
2020-02-04,10,3508
2020-02-05,3,5374
2020-02-05,6,2117
2020-02-05,10,2114
2020-02-06,1,13435
2020-02-06,2,10376
2020-02-06,3,4208
2020-02-06,8,2915
2020-02-06,10,709
2020-02-07,1,19910
2020-02-07,3,13688
2020-02-07,5,17054
2020-02-07,10,609
2020-02-08,8,1492
2020-02-10,1,14952
