Cid,title,hits,time,cluster
1,[디지털혁신공유대학강의] 2022 CO-WEEK ACADEMY 온라인 강의 수강신청 안내,512,2022-11-16,169
1,[참사람사회공헌센터] 한국장학재단 제26기 동계 대학생 재능봉사캠프 모집 안내,671,2022-11-16,2
1,[중앙도서관] 2022학년도 온라인 학술전자정보박람회 개최 안내,2500,2022-11-15,306
1,내일채움공제 숏폼 컨텐츠 공모전 안내,2278,2022-11-15,7
1,2022 주택금융 컨퍼런스 개최 안내,1599,2022-11-15,493
1,동국대 전담특허사무소  모집공고,1812,2022-11-14,25
1,2024학년도 법학적성시험(LEET) 대비 겨울방학 특강 안내,5868,2022-11-10,25
1,동국대 다르마교양교육연구소 제6회 정기학술대회 안내,5646,2022-11-10,317
1,[역량개발센터 특강] 블록체인과 미래의 직업,1658,2022-11-09,124
1,국제학생증 ISIC 발급비 지원행사 안내(국제학생증 무료 발급),6581,2022-11-08,344
1,[카운슬링센터] MBTI 심화 특강 안내,4636,2022-11-08,178
1,[동국역경원] 경전 암송대회 참가 신청 안내,4858,2022-11-07,348
1,심팩(SIMPAC) 최진식 고시장학금 신청안내,5275,2022-11-07,25
1,그룹웨어 시스템 운영 일시 중지 안내,1932,2022-11-07,25
1,[참사람사회공헌센터] 2022 겨울학기 사회봉사교과목 수강신청 안내,1683,2022-11-07,153
1,[창업보육센터] 신규 입주기업 모집 공고(2022년 5차),1631,2022-11-07,1
1,동국대학교 DUICA 아웃바운드 TM 채용,4275,2022-11-04,302
1,"온라인 심리검사 프로그램 참여 안내 : '나의 대학생활과 학습습관, 어떨까?'",1570,2022-11-04,289
1,[참사람사회공헌센터] 2022 동계 베트남 파견 해외봉사 단원 선발 모집(기간연장),1887,2022-11-04,230
1,"[창업교육센터] 창업, 무엇이든 물어보세요! 질문 접수 중(~11/17(목))",1842,2022-11-04,66
1,"[교수학습개발센터] 교육매체 워크숍(11/9, 11/23 진행) 안내",1584,2022-11-04,414
1,[LINC3.0] 퀴즈 이벤트가 시작되었다,1722,2022-11-03,323
1,2022 LS드림사이언스클래스 18기 대학생 멘토모집 안내,1820,2022-11-03,375
1,2022 디지털 포용문화 확산 공모전 안내,1587,2022-11-03,7
1,[고시반] 제59회 변리사 시험 합격자 조사 안내,1828,2022-11-03,138
1,[동국역경원] 경전 암송대회 참가 신청 안내,444,2022-11-03,348
1,[창업진흥센터-Making School] 중앙도서관 메이커스페이스 MARU 기초 장비 교육 참가자 모집,269,2022-11-03,117
1,[카운슬링센터] 또래상담(유피어스) 멘티 모집(최종),411,2022-11-02,9
1,동국대학교X멀티캠퍼스 풀스택 개발자 취업캠프 교육생 모집설명회,419,2022-11-01,34
